Rank,Name,Rank_Again,Symbol,Price,24h,7d,Market Cap,Volume USD,Volume Units,Circulating Supply,price,market_cap,volume_usd
,Cryptonex,,CNX,$4.26,8.13%,23.68%,,,,,4.26,,
,Helper Search Token,,HSN,$0.022550,8.33%,23.84%,,,,,0.02255,,
,Doctors Coin,,DRS,$0.819671,0.97%,7.05%,,,,,0.819671,,
,TNC Coin,,TNC,$0.079600,-0.97%,-0.33%,,,,,0.0796,,
,STPAY,,STP,$39.29,86.59%,117.91%,,,,,39.29,,
,Empty Set Dollar,,ESD,$0.792059,-11.28%,-18.57%,,,,,0.792059,,
,Bridge Oracle,,BRG,$0.020767,11.92%,68.82%,,,,,0.020767,,
,Huobi BTC,,HBTC,$34022.22,8.39%,22.91%,,,,,34022.22,,
,Largo Coin,,LRG,$9.34,-5.69%,-7.66%,,,,,9.34,,
,MimbleWimbleCoin,,MWC,$14.33,7.27%,58.86%,,,,,14.33,,
,NewYork Exchange,,NYE,$20.67,10.13%,11.41%,,,,,20.67,,
,Sologenic,,SOLO,$0.700254,0.12%,3.06%,,,,,0.700254,,
,Idea Chain Coin,,ICH,$2.49,4.65%,12.57%,,,,,2.49,,
,Elitium,,EUM,$4.08,7.23%,20.11%,,,,,4.08,,
,Mobilian Coin,,MBN,$0.856847,2.75%,26.93%,,,,,0.856847,,
,Bitball Treasure,,BTRS,$264.44,99.32%,94.69%,,,,,264.44,,
,YUSRA,,YUSRA,$3.02,-0.31%,16.00%,,,,,3.02,,
,Neutrino USD,,USDN,$0.982084,-0.36%,-1.69%,,,,,0.982084,,
,Darma Cash,,DMCH,$0.549124,-3.36%,12.60%,,,,,0.549124,,
,GreenPower,,GRN,$0.035035,8.18%,-0.28%,,,,,0.035035,,
,Vitae,,VITAE,$5.79,-9.06%,-3.31%,,,,,5.79,,
,Bitcoin BEP2,,BTCB,$21905.91,-29.55%,-20.80%,,,,,21905.91,,
,Keep Network,,KEEP,$0.227377,9.17%,2.56%,,,,,0.227377,,
,Bitpanda Ecosystem Token,,BEST,$0.250785,9.60%,32.05%,,,,,0.250785,,
,Joule,,JUL,$0.098518,6.55%,21.53%,,,,,0.098518,,
,Strong,,STRONG,$29.10,11.68%,29.33%,,,,,29.1,,
,CRYPTOBUCKS,,CBUCKS,$0.023909,153.61%,58.78%,,,,,0.023909,,
,Bloomzed Loyalty Club Ticket,,BLCT,$2.34,0.47%,7.06%,,,,,2.34,,
,Metacoin,,MTC,$0.081543,6.21%,6.74%,,,,,0.081543,,
,Dimension Chain,,EON,$0.350414,0.03%,0.32%,,,,,0.350414,,
,Tap,,XTP,$0.069316,16.20%,46.65%,,,,,0.069316,,
,XeniosCoin,,XNC,$1.08,8.06%,30.49%,,,,,1.08,,
,AXEL,,AXEL,$0.302179,7.31%,31.44%,,,,,0.302179,,
,Wrapped BNB,,WBNB,$41.52,9.08%,38.80%,,,,,41.52,,
,Beldex,,BDX,$0.074923,-3.75%,1.35%,,,,,0.074923,,
,Mixin,,XIN,$138.81,5.22%,2.30%,,,,,138.81,,
,Hellenic Coin,,HNC,$1.04,2.02%,25.34%,,,,,1.04,,
,Bitbook Gambling,,BXK,$0.202172,7.22%,-8.15%,,,,,0.202172,,
,Qcash,,QC,$0.154957,0.22%,0.85%,,,,,0.154957,,
,Poseidon Network,,QQQ,$0.031977,-3.88%,-19.87%,,,,,0.031977,,
,BTU Protocol,,BTU,$0.752614,8.23%,16.16%,,,,,0.752614,,
,Baer Chain,,BRC,$0.387927,-3.38%,-13.02%,,,,,0.387927,,
,TerraKRW,,KRT,$0.000916,-1.85%,0.82%,,,,,0.000916,,
,Amp,,AMP,$0.006498,-5.54%,3.65%,,,,,0.006498,,
,Bonorum,,BONO,$92.80,7.03%,141.25%,,,,,92.8,,
,NuCypher,,NU,$0.153535,-8.73%,-11.48%,,,,,0.153535,,
,PancakeSwap,,CAKE,$0.649267,7.99%,33.02%,,,,,0.649267,,
,MATH,,MATH,$0.505268,1.78%,4.64%,,,,,0.505268,,
,XinFin Network,,XDC,$0.004723,-4.02%,-9.51%,,,,,0.004723,,
,Bithao,,BHAO,$1.26,-7.12%,0.59%,,,,,1.26,,
,Attila,,ATT,$0.121057,-1.23%,-2.28%,,,,,0.121057,,
,WhiteCoin,,XWC,$0.221053,-2.24%,-9.04%,,,,,0.221053,,
,PARSIQ,,PRQ,$0.511367,-0.36%,2.25%,,,,,0.511367,,
,Hegic,,HEGIC,$0.167130,21.95%,65.75%,,,,,0.16713,,
,Bankera,,BNK,$0.001985,6.98%,64.86%,,,,,0.001985,,
,SKALE Network,,SKL,$0.081879,5.53%,-8.10%,,,,,0.081879,,
,GNY,,GNY,$0.238830,70.70%,144.20%,,,,,0.23883,,
,CRYPTO20,,C20,$1.09,6.39%,17.19%,,,,,1.09,,
,Polkastarter,,POLS,$0.901722,19.20%,137.18%,,,,,0.901722,,
,Safex Token,,SFT,$0.023002,-7.13%,-10.20%,,,,,0.023002,,
,inSure,,SURE,$0.012100,103.16%,999.77%,,,,,0.0121,,
,KardiaChain,,KAI,$0.020978,-3.64%,-17.42%,,,,,0.020978,,
,STEM CELL COIN,,SCC,$0.131447,4.79%,6.24%,,,,,0.131447,,
,TrustToken,,TRU,$0.160638,15.62%,23.84%,,,,,0.160638,,
,Rakon,,RKN,$0.160744,10.49%,32.00%,,,,,0.160744,,
,NEST Protocol,,NEST,$0.021880,0.78%,9.83%,,,,,0.02188,,
,VestChain,,VEST,$0.009410,-16.59%,26.81%,,,,,0.00941,,
,Orion Protocol,,ORN,$2.24,2.60%,8.92%,,,,,2.24,,
,BitcoinPoS,,BPS,$9.14,-5.75%,35.41%,,,,,9.14,,
,TitanSwap,,TITAN,$0.675340,-4.55%,-0.96%,,,,,0.67534,,
,cVault.finance,,CORE,$3637.17,14.11%,19.90%,,,,,3637.17,,
,Eauric,,EAURIC,$1.31,7.96%,29.67%,,,,,1.31,,
,TriumphX,,TRIX,$2.82,37.21%,-67.76%,,,,,2.82,,
,Harvest Finance,,FARM,$86.43,11.18%,-4.62%,,,,,86.43,,
,Orbit Chain,,ORC,$0.075149,-7.24%,-15.94%,,,,,0.075149,,
,Trust Wallet Token,,TWT,$0.140187,10.30%,6.24%,,,,,0.140187,,
,Ducato Protocol Token,,DUCATO,$27.40,3.03%,0.16%,,,,,27.4,,
,Sora,,XOR,$98.83,-1.48%,3.49%,,,,,98.83,,
,Etherisc DIP Token,,DIP,$0.197928,43.92%,77.98%,,,,,0.197928,,
2901,Dcoin Token,2901,DT,$0.006564,4.36%,9.49%,$0,"$67,002","10,208,006 DT",0 DT,0.006564,0.0,67002.0
2902,GoldFinX,2902,GIX,$3.07,7.12%,5.07%,$0,"$67,798","22,053 GIX",0 GIX,3.07,0.0,67798.0
2903,EduCoin,2903,EDU,$0.000125,6.81%,3.55%,$0,"$66,038","527,484,866 EDU",0 EDU,0.000125,0.0,66038.0
2904,Governor DAO,2904,GDAO,$0.652545,4.00%,20.93%,$0,"$66,211","101,466 GDAO",0 GDAO,0.652545,0.0,66211.0
2905,Gbrick,2905,GBX,$0.005087,0.02%,10.07%,$0,"$66,510","13,074,685 GBX",0 GBX,0.005087,0.0,66510.0
2906,MediconnectUk,2906,MEDI,$0.033107,1.21%,1.11%,$0,"$65,762","1,986,341 MEDI",0 MEDI,0.033107,0.0,65762.0
2907,Bitcoin File,2907,BIFI,$0.000658,0.76%,17.47%,$0,"$65,730","99,915,803 BIFI",0 BIFI,0.000658,0.0,65730.0
2908,BlockNoteX,2908,BNOX,$0.619407,0.34%,2.61%,$0,"$65,959","106,487 BNOX",0 BNOX,0.619407,0.0,65959.0
2910,Cybereits,2910,CRE,$0.001104,21.31%,42.70%,$0,"$63,812","57,811,437 CRE",0 CRE,0.001104,0.0,63812.0
,Coral Swap,,CORAL,$0.885384,8.42%,8.82%,,,,,0.885384,,
,Mazzuma,,MAZ,$2.05,1.16%,11.38%,,,,,2.05,,
,UBIX.Network,,UBX,$0.000013,50.33%,66.36%,,,,,1.3e-05,,
,GSENetwork,,GSE,$0.000026,-4.27%,0.20%,,,,,2.6e-05,,
,Dapp Token,,DAPPT,$0.000501,15.20%,11.76%,,,,,0.000501,,
,yAxis,,YAX,$4.87,13.84%,-5.45%,,,,,4.87,,
,Ethanol,,ENOL,$181.11,6.69%,-0.74%,,,,,181.11,,
,Aspire,,ASP,$0.097023,-36.79%,-47.40%,,,,,0.097023,,
,IterationSyndicate,,ITS,$8.60,30.19%,28.05%,,,,,8.6,,
,DefiDollar,,DUSD,$1.01,2.06%,3.02%,,,,,1.01,,
,BlockCDN,,BCDN,$0.001364,-0.28%,-2.30%,,,,,0.001364,,
,Hiblocks,,HIBS,$0.000342,0.00%,-29.87%,,,,,0.000342,,
,Rozeus,,ROZ,$0.008323,9.49%,-3.78%,,,,,0.008323,,
,SoPay,,SOP,$0.000033,-0.64%,3.27%,,,,,3.3e-05,,
,Proof Of Liquidity,,POL,$0.014646,0.31%,1.43%,,,,,0.014646,,
,3X Long Midcap Index Token,,MIDBULL,$817.00,9.59%,27.86%,,,,,817.0,,
,CoinHe Token,,CHT,$0.036558,-4.71%,-17.36%,,,,,0.036558,,
,Degov,,DEGOV,$76.95,3.33%,-6.80%,,,,,76.95,,
,Portal,,PORTAL,$0.000474,-3.14%,-0.39%,,,,,0.000474,,
,Building Cities Beyond Blockchain,,BCB,$0.332159,-2.44%,-19.39%,,,,,0.332159,,
,Treecle,,TRCL,$0.014258,-1.28%,-2.46%,,,,,0.014258,,
,UniWhales,,UWL,$0.296729,-3.25%,7.26%,,,,,0.296729,,
,Yearn Ecosystem Token Index,,YETI,$0.809207,1.20%,-6.19%,,,,,0.809207,,
,Culture Ticket Chain,,CTC,$0.001339,15.57%,27.68%,,,,,0.001339,,
,Force For Fast,,FFF,$0.001749,-8.96%,-40.51%,,,,,0.001749,,
,STABLE ASSET,,STA,$0.392996,-1.43%,20.54%,,,,,0.392996,,
,DTOP Token,,DTOP,$0.002735,15.23%,5.75%,,,,,0.002735,,
,3X Short Sushi Token,,SUSHIBEAR,$0.142850,-17.31%,-68.12%,,,,,0.14285,,
,Coinbase Pre-IPO tokenized stock FTX,,CBSE,$285.18,7.27%,13.24%,,,,,285.18,,
,Unicap.finance,,UCAP,$2.14,-1.97%,-3.48%,,,,,2.14,,
,Akropolis Delphi,,ADEL,$0.089489,16.37%,-63.21%,,,,,0.089489,,
,UniCrypt,,UNCX,$57.41,14.86%,-7.29%,,,,,57.41,,
,Dymmax,,DMX,$1.33,-1.75%,5.04%,,,,,1.33,,
,CSP DAO,,NEBO,$1.23,-11.63%,4.63%,,,,,1.23,,
,JulSwap,,JULD,$0.004889,-21.92%,0.00%,,,,,0.004889,,
,Akoin,,AKN,$0.143541,-2.41%,-1.12%,,,,,0.143541,,
,Galaxy Pool Coin,,GPO,$0.037146,-2.05%,-6.77%,,,,,0.037146,,
,YieldWars,,WAR,$0.120294,13.97%,45.52%,,,,,0.120294,,
,LibreFreelencer,,LIBREF,$0.000067,-46.92%,-74.39%,,,,,6.7e-05,,
,renFIL,,RENFIL,$24.43,4.17%,-5.97%,,,,,24.43,,
,Global Human Trust,,GHT,$42.08,-2.76%,-3.59%,,,,,42.08,,
,Reflector.Finance,,RFCTR,$0.050088,-14.78%,-44.08%,,,,,0.050088,,
,Stream Protocol,,STPL,$0.022565,-0.49%,0.18%,,,,,0.022565,,
,Bitsonic,,BSC,$0.015984,-4.25%,-5.42%,,,,,0.015984,,
,yRise Finance,,YRISE,$3.12,18.77%,20.93%,,,,,3.12,,
,BlackDragon,,BDT,$1.47,-3.28%,2.15%,,,,,1.47,,
,Hintchain,,HINT,$0.001474,0.95%,-6.88%,,,,,0.001474,,
,Upper Euro,,EURU,$1.21,0.03%,-9.58%,,,,,1.21,,
,Whole Network,,NODE,$0.000200,-2.10%,-14.87%,,,,,0.0002,,
,Daikicoin,,DIC,$0.022365,-31.46%,-29.32%,,,,,0.022365,,
,3X Short Algorand Token,,ALGOBEAR,$0.002154,-2.89%,-72.02%,,,,,0.002154,,
,IDall,,IDALL,$0.014088,-1.11%,13.99%,,,,,0.014088,,
,LemoChain,,LEMO,$0.000828,4.10%,-9.60%,,,,,0.000828,,
,Yeld Finance,,YELD,$8.79,13.00%,11.52%,,,,,8.79,,
,Global Gaming,,GMNG,$0.000144,15.25%,5.34%,,,,,0.000144,,
,Defi Shopping Stake,,DSS,$0.016373,12.21%,50.11%,,,,,0.016373,,
,HubDao,,HD,$0.274173,-5.00%,0.94%,,,,,0.274173,,
,Based Money,,$BASED,$0.975977,3.06%,-27.97%,,,,,0.975977,,
,Bitpower,,BPP,$0.016714,18.86%,0.00%,,,,,0.016714,,
,Vectorspace AI,,VXV,$0.401489,-2.81%,-24.30%,,,,,0.401489,,
,Greenheart Punt,,PUNT,$0.158283,24.46%,-16.14%,,,,,0.158283,,
,Predictz,,PRDZ,$50.14,24.63%,8.80%,,,,,50.14,,
,Kompass,,KOMP,$34.78,28.61%,28.98%,,,,,34.78,,
,SURF Finance,,SURF,$0.285466,12.02%,7.89%,,,,,0.285466,,
,BonezYard,,BNZ,$0.108193,-10.71%,-7.80%,,,,,0.108193,,
,Morpher,,MPH,$0.024910,14.77%,27.44%,,,,,0.02491,,
,WallStreet.Finance,,WSF,$315.20,20.34%,20.99%,,,,,315.2,,
,3X Short Cardano Token,,ADABEAR,$0.017806,-24.35%,-53.94%,,,,,0.017806,,
,Combo,,COMB,$0.004748,3.89%,1.41%,,,,,0.004748,,
,DarkPay,,D4RK,$0.060752,-49.31%,29.89%,,,,,0.060752,,
,Web Coin Pay,,WEC,$1.65,-11.02%,-20.25%,,,,,1.65,,
,Stobox Token,,STBU,$0.120153,-9.27%,-8.13%,,,,,0.120153,,
,United Bitcoin,,UBTC,$0.350647,-12.44%,-23.95%,,,,,0.350647,,
,Prophet,,PROPHET,$0.443243,83.55%,152.67%,,,,,0.443243,,
,WAXE,,WAXE,$38.67,2.75%,0.00%,,,,,38.67,,
,Golden Token,,GOLD,$0.014845,0.19%,7.58%,,,,,0.014845,,
,OpenAlexa Protocol,,OAP,$0.724186,2.65%,7.77%,,,,,0.724186,,
,GYSR,,GYSR,$0.267835,14.77%,-3.59%,,,,,0.267835,,
,BUILD Finance,,BUILD,$9.63,-12.37%,35.79%,,,,,9.63,,
,Jinbi Token,,JNB,$164.85,0.13%,-3.46%,,,,,164.85,,
,Dark.Build,,DARK,$17.38,34.14%,70.38%,,,,,17.38,,
,CAPITAL X CELL,,CXC,$0.012814,-7.95%,-0.77%,,,,,0.012814,,
,PieDAO DEFI Large Cap,,DEFI+L,$1.69,9.53%,21.87%,,,,,1.69,,
,FIRST INTERCHANGEABLE TOKEN,,FIT,$7.96,6.18%,-2.11%,,,,,7.96,,
,Destiny Success,,DXTS,$0.435416,-48.65%,-36.28%,,,,,0.435416,,
,3x Short EOS Token,,EOSBEAR,$0.781021,-9.10%,-9.16%,,,,,0.781021,,
,Carrot,,CRT,$0.080086,1.23%,-10.51%,,,,,0.080086,,
,EtherBone,,ETHBN,$0.000150,7.96%,15.75%,,,,,0.00015,,
,Krypton Galaxy Coin,,KGC,$0.000155,13.71%,12.54%,,,,,0.000155,,
,Neeva Defi,,NVA,$102.32,0.01%,-5.96%,,,,,102.32,,
3001,Ystar,3001,YSR,$0.009717,8.20%,4.69%,$0,"$34,908","3,592,260 YSR",0 YSR,0.009717,0.0,34908.0
3002,3X Long Shitcoin Index Token,3002,BULLSHIT,$604.00,8.00%,17.67%,$0,"$34,823",58 BULLSHIT,0 BULLSHIT,604.0,0.0,34823.0
3003,DefiDollar DAO,3003,DFD,$0.460108,2.69%,18.62%,$0,"$34,898","75,847 DFD",0 DFD,0.460108,0.0,34898.0
3004,MileVerse,3004,MVC,$0.004423,11.86%,31.18%,$0,"$34,072","7,703,634 MVC",0 MVC,0.004423,0.0,34072.0
3006,MEX,3006,MEX,$0.000144,10.18%,13.18%,$0,"$32,217","224,153,743 MEX",0 MEX,0.000144,0.0,32217.0
3007,DRC mobility,3007,DRC,$0.105619,1.11%,0.00%,$0,"$33,438","316,593 DRC",0 DRC,0.105619,0.0,33438.0
3008,BitCherry,3008,BCHC,$0.005569,5.81%,1.68%,$0,"$32,698","5,870,873 BCHC",0 BCHC,0.005569,0.0,32698.0
3009,Buzzshow,3009,GLDY,$0.061089,11.62%,35.25%,$0,"$32,851","537,765 GLDY",0 GLDY,0.061089,0.0,32851.0
3010,Blockchain Exchange Alliance,3010,BXA,$0.001056,31.35%,5.52%,$0,"$32,895","31,154,740 BXA",0 BXA,0.001056,0.0,32895.0
,Student Coin,,STC,$0.002218,-11.38%,-2.20%,,,,,0.002218,,
,Goldblock,,GBK,$0.000764,-4.35%,-5.38%,,,,,0.000764,,
,Receive Access Ecosystem,,RAE,$2.81,26.71%,55.41%,,,,,2.81,,
,Dice,,DICE,$0.000313,-5.00%,47.13%,,,,,0.000313,,
,Buxcoin,,BUX,$0.295776,21.83%,93.08%,,,,,0.295776,,
,Unistake,,UNISTAKE,$0.010345,9.52%,17.10%,,,,,0.010345,,
,Spice,,SPICE,$0.001379,10.03%,36.94%,,,,,0.001379,,
,D Community,,DILI,$0.000217,8.95%,-10.50%,,,,,0.000217,,
,PiSwap Token,,PIS,$0.976095,-6.40%,-13.62%,,,,,0.976095,,
,eosBLACK,,BLACK,$0.000552,-3.01%,10.95%,,,,,0.000552,,
,Dogz,,DOGZ,$0.000028,35.92%,40.40%,,,,,2.8e-05,,
,KYSC Token,,KYSC,$0.000309,-7.75%,1.31%,,,,,0.000309,,
,NewsToken,,NEWOS,$0.003198,8.95%,16.85%,,,,,0.003198,,
,Grom,,GR,$2.02,2.54%,10.13%,,,,,2.02,,
,LinkBased,,LBD,$0.866901,-22.93%,0.00%,,,,,0.866901,,
,LYFE,,LYFE,$0.016463,-3.31%,-12.05%,,,,,0.016463,,
,Custody Token,,CUST,$0.002580,-0.30%,2.45%,,,,,0.00258,,
,Node Runners,,NDR,$30.45,11.61%,36.13%,,,,,30.45,,
,PieDAO DEFI Small Cap,,DEFI+S,$2.05,9.56%,24.18%,,,,,2.05,,
,GGDApp,,GGTK,$0.080200,-8.24%,0.00%,,,,,0.0802,,
,3X Short Cosmos Token,,ATOMBEAR,$0.440801,-8.63%,-54.09%,,,,,0.440801,,
,Rivex,,RVX,$0.073111,8.70%,-5.55%,,,,,0.073111,,
,XPToken.io,,XPT,$1.09,0.04%,0.33%,,,,,1.09,,
,ACoconut,,AC,$0.817363,-1.05%,-12.90%,,,,,0.817363,,
,BiFi,,BIFI,$0.015202,4.84%,0.00%,,,,,0.015202,,
,bZx Vesting Token,,VBZRX,$0.039775,-14.32%,-13.09%,,,,,0.039775,,
,Gomics,,GOM,$0.133178,11.82%,-9.79%,,,,,0.133178,,
,Tutor's Diary,,TUDA,$0.010782,6.65%,105.43%,,,,,0.010782,,
,YMAX,,YMAX,$6.66,25.12%,14.81%,,,,,6.66,,
,DeFiPie,,PIE,$0.031562,1.35%,-16.63%,,,,,0.031562,,
,Globalvillage Ecosystem,,GVE,$0.000064,-8.04%,4.56%,,,,,6.4e-05,,
,MegaCryptoPolis,,MEGA,$7.19,20.69%,15.12%,,,,,7.19,,
,NNB Token,,NNB,$0.000225,1.05%,-23.63%,,,,,0.000225,,
,Oracle System,,ORC,$0.001972,-20.33%,-69.65%,,,,,0.001972,,
,Earnbase,,ENB,$9.00,3.87%,18.45%,,,,,9.0,,
,Lattice Token,,LTX,$0.090869,9.98%,11.34%,,,,,0.090869,,
,ROONEX,,RNX,$0.000208,-1.78%,-4.71%,,,,,0.000208,,
,AllWin DeFi,,ALLWIN,$0.217439,17.73%,9.43%,,,,,0.217439,,
,DoYourTip,,DYT,$0.476814,0.80%,5.53%,,,,,0.476814,,
,3x Short Tezos Token,,XTZBEAR,$0.535000,-13.84%,-29.28%,,,,,0.535,,
,Pteria,,PTERIA,$2.39,14.02%,14.58%,,,,,2.39,,
,ThingsOperatingSystem,,TOS,$0.000431,-1.84%,-2.96%,,,,,0.000431,,
,Capital.Finance,,CAP,$2.86,-26.91%,-21.03%,,,,,2.86,,
,Rowan Token,,RWN,$0.008522,17.19%,25.64%,,,,,0.008522,,
,TheOvOrideA,,OVOA,$1010.62,25.47%,64.19%,,,,,1010.62,,
,MDsquare,,TMED,$0.000223,0.00%,0.49%,,,,,0.000223,,
,IOEX,,IOEX,$0.036966,6.07%,26.34%,,,,,0.036966,,
,gAsp,,GASP,$0.427964,-2.13%,-4.71%,,,,,0.427964,,
,Keysians Network,,KEN,$1.49,5.84%,-2.62%,,,,,1.49,,
,Easticoin,,ESTI,$0.028423,7.69%,-7.16%,,,,,0.028423,,
,Galaxy Wallet,,GC,$0.002211,-0.78%,-6.18%,,,,,0.002211,,
,Lottonation,,LNT,$0.030635,0.03%,14.43%,,,,,0.030635,,
,Khipu Token,,KIP,$0.000420,2.45%,-6.00%,,,,,0.00042,,
,DOOS TOKEN,,DOOS,$0.035096,-52.20%,-91.43%,,,,,0.035096,,
,Elxis,,LEX,$3.01,3.48%,11.47%,,,,,3.01,,
,SimpleChain,,SIMPLE,$0.231215,-5.26%,-9.31%,,,,,0.231215,,
,Experty Wisdom Token,,WIS,$0.038105,-0.46%,5.36%,,,,,0.038105,,
,3X Short TRX Token,,TRXBEAR,$0.053119,-13.61%,-13.11%,,,,,0.053119,,
,FANBI TOKEN,,FBT,$0.000168,6.02%,-7.52%,,,,,0.000168,,
,Hyper Pay,,HPY,$0.000441,2.43%,4.44%,,,,,0.000441,,
,WaterDrop,,WDP,$33.45,-13.27%,-23.95%,,,,,33.45,,
,Richlab Token,,RLE,$0.000306,-4.15%,-32.88%,,,,,0.000306,,
,COIL,,COIL,$0.542167,14.93%,-7.41%,,,,,0.542167,,
,Hyve,,HYVE,$0.010251,3.06%,-28.80%,,,,,0.010251,,
,3XT TOKEN,,3XT,$1303.58,-12.33%,-32.16%,,,,,1303.58,,
,BenePit Protocol,,BNP,$0.000045,-3.70%,-6.89%,,,,,4.5e-05,,
,Emanate,,EMT,$0.006159,4.21%,21.30%,,,,,0.006159,,
,Robonomics Web Services,,RWS,$44877.97,-11.94%,5.14%,,,,,44877.97,,
,X-Block,,IX,$0.000068,12.30%,1.92%,,,,,6.8e-05,,
,sETH,,SETH,$923.93,19.77%,42.99%,,,,,923.93,,
,YUI Token,,YUI,$3.53,2.90%,3.48%,,,,,3.53,,
,Hive Dollar,,HBD,$0.943041,-8.54%,-2.26%,,,,,0.943041,,
,Foresight,,FORS,$0.033479,-2.28%,43.73%,,,,,0.033479,,
,PalletOne,,PTN,$0.003481,12.18%,22.69%,,,,,0.003481,,
,Dfinance,,XFI,$0.071892,13.32%,15.45%,,,,,0.071892,,
,REBIT,,KEYT,$0.035664,5.05%,25.71%,,,,,0.035664,,
,Wisdom Chain,,WDC,$0.022040,-10.54%,-13.11%,,,,,0.02204,,
,Va Na Su,,VNS,$0.522530,6.46%,-23.05%,,,,,0.52253,,
,Space Dollar,,SPAD,$18.21,-68.56%,0.00%,,,,,18.21,,
,CashBackPro,,CBP,$0.538705,0.14%,-16.28%,,,,,0.538705,,
,Rubic,,RBC,$0.006625,38.05%,30.75%,,,,,0.006625,,
,Modex,,MODEX,$0.008287,-10.99%,-26.78%,,,,,0.008287,,
,OneSwap DAO Token,,ONES,$0.524097,4.08%,7.48%,,,,,0.524097,,
,ExNetwork Token,,EXNT,$0.068319,23.92%,40.47%,,,,,0.068319,,
,Rope,,$ROPE,$18.22,-2.20%,-40.74%,,,,,18.22,,
,Apple tokenized stock Bittrex,,AAPL,$133.89,-2.19%,0.43%,,,,,133.89,,
,Swapfolio,,SWFL,$0.084599,19.49%,35.04%,,,,,0.084599,,
,LONG COIN,,LONG,$0.000012,8.24%,3.58%,,,,,1.2e-05,,
,UltrAlpha,,UAT,$0.010018,-73.76%,-74.00%,,,,,0.010018,,
,GOT Token,,GOT,$0.964979,6.46%,18.29%,,,,,0.964979,,
3101,Ubiner,3101,UBIN,$0.000348,2.54%,6.27%,$0,"$17,782","51,143,515 UBIN",0 UBIN,0.000348,0.0,17782.0
3102,ESR Coin,3102,ESRC,$0.238446,18.39%,35.36%,$0,"$17,815","74,715 ESRC",0 ESRC,0.238446,0.0,17815.0
3103,Bincentive,3103,BCNT,$0.007000,4.16%,2.35%,$0,"$17,606","2,515,050 BCNT",0 BCNT,0.007,0.0,17606.0
3104,YFWorld,3104,YFW,$161.77,17.48%,30.88%,$0,"$17,415",108 YFW,0 YFW,161.77,0.0,17415.0
3105,ETF Dao,3105,TFD,$0.006727,1.68%,15.50%,$0,"$17,381","2,583,741 TFD",0 TFD,0.006727,0.0,17381.0
3106,MIKS COIN,3106,MIKS,$0.000080,8.21%,18.15%,$0,"$16,725","208,164,722 MIKS",0 MIKS,8e-05,0.0,16725.0
3107,BuySell,3107,BULL,$1.18,5.26%,20.69%,$0,"$16,716","14,117 BULL",0 BULL,1.18,0.0,16716.0
3108,CARAT,3108,CARAT,$0.743426,27.03%,37.44%,$0,"$18,851","25,357 CARAT",0 CARAT,0.743426,0.0,18851.0
3109,KING OF DEFI,3109,KODX,$57.96,30.61%,47.75%,$0,"$16,558",286 KODX,0 KODX,57.96,0.0,16558.0
,Brazilian Digital Token,,BRZ,$0.189868,-0.31%,-4.21%,,,,,0.189868,,
,Alibaba tokenized stock FTX,,BABA,$232.50,0.30%,2.92%,,,,,232.5,,
,Fridn,,EFAR,$0.211126,-1.87%,-2.92%,,,,,0.211126,,
,Hybrid Bank Cash,,HBC,$0.019434,-15.69%,25.05%,,,,,0.019434,,
,Innovation Blockchain Payment,,IBP,$0.065759,-7.00%,-3.97%,,,,,0.065759,,
,YFI3.money,,YFI3,$10.03,-0.04%,7.00%,,,,,10.03,,
,HebeBlock,,HEBE,$0.004121,0.26%,-2.86%,,,,,0.004121,,
,Crypto Cricket Club,,3Cs,$0.052658,6.85%,4.23%,,,,,0.052658,,
,Sav3Token,,SAV3,$0.049887,18.23%,28.33%,,,,,0.049887,,
,ValueChain,,VLC,$0.001817,18.52%,-45.02%,,,,,0.001817,,
,TUNE TOKEN,,TUNE,$0.001863,4.53%,-8.53%,,,,,0.001863,,
,xETH-G,,XETH-G,$0.098630,-20.93%,-22.82%,,,,,0.09863,,
,Xank,,XANK,$0.043077,-2.41%,-6.57%,,,,,0.043077,,
,sBTC,,SBTC,$34033.74,8.51%,22.76%,,,,,34033.74,,
,Pixie Coin,,PXC,$0.001818,-18.07%,62.29%,,,,,0.001818,,
,Combine.finance,,COMB,$64.39,11.47%,-6.55%,,,,,64.39,,
,3X Short TomoChain Token,,TOMOBEAR,$0.000020,-50.87%,-43.71%,,,,,2e-05,,
,ECOC Financial Growth,,EFG,$43.38,-4.53%,-14.59%,,,,,43.38,,
,TEAL,,TEAT,$0.659772,9.52%,14.99%,,,,,0.659772,,
,UTU Protocol,,UTU,$0.005259,18.79%,-53.52%,,,,,0.005259,,
,Chain Games,,CHAIN,$0.012872,17.91%,11.64%,,,,,0.012872,,
,LEVELG,,LEVELG,$0.142692,0.82%,1.02%,,,,,0.142692,,
,AI Crypto,,AIC,$0.000054,1.32%,3.28%,,,,,5.4e-05,,
,Groovy Finance,,GVY,$2.90,-3.34%,3.21%,,,,,2.9,,
,YVS.Finance,,YVS,$2.16,2.74%,-53.54%,,,,,2.16,,
,Moonday Finance,,MOONDAY,$32.81,11.83%,14.36%,,,,,32.81,,
,3X Short BNB Token,,BNBBEAR,$0.058975,-22.83%,-51.25%,,,,,0.058975,,
,Fiscus.fyi,,FFYI,$0.429846,-13.24%,-15.43%,,,,,0.429846,,
,Medicalveda,,MVEDA,$0.074022,9.79%,18.03%,,,,,0.074022,,
,Contribute,,TRIB,$2.09,5.99%,4.79%,,,,,2.09,,
